Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Value_co2_emissions_kt_by_country
4203.77,111.5,1093.37,9984570.313
4345.86,133.22,1289.23,10006669.92
4222.76,171.38,1393.66,9861099.609
4355.0,213.18,1522.79,9874660.156
4643.1,248.1,1667.06,10096009.77
4990.28,295.0,1835.32,10502929.69
5098.22,348.7,2014.57,10707219.73
5184.13,366.2,2184.94,0.0
10.21,0.0,31.98,58340.0
10.78,0.0,31.69,58940.0
10.25,0.0,33.83,56770.00046
9.6,0.0,36.0,56110.00061
8.87,0.0,39.91,56110.00061
9.71,0.0,39.64,57639.99939
10.13,0.0,42.6,57689.99863
9.93,0.0,44.27,59180.00031
8.77,0.0,46.19,59779.99878
14.77,0.0,41.08,62009.99832
15.96,0.0,40.66,63560.00137
10.11,0.0,48.81,69099.99847
12.96,0.0,47.58,69699.99695
21.71,0.0,50.48,76860.00061
20.99,0.0,48.06,79199.99695
27.22,0.0,49.0,80230.00336
25.02,0.0,49.54,82680.00031
16.07,0.0,61.39,74989.99786
19.11,0.0,60.08,78589.99634
23.84,0.0,54.31,81040.00092
27.17,0.0,49.97,0.0
0.02,0.0,0.0,100.0
0.03,0.0,0.0,110.0
0.03,0.0,0.0,109.9999994
0.03,0.0,0.0,140.0000006
0.04,0.0,0.0,150.000006
0.04,0.0,0.0,150.000006
0.04,0.0,0.0,170.0000018
0.04,0.0,0.0,109.9999994
0.04,0.0,0.0,109.9999994
0.04,0.0,0.0,140.0000006
0.04,0.0,0.0,170.0000018
0.05,0.0,0.0,150.000006
0.05,0.0,0.0,159.9999964
0.05,0.0,0.0,189.9999976
0.05,0.0,0.0,170.0000018
0.05,0.0,0.0,189.9999976
0.05,0.0,0.0,219.9999988
0.09,0.0,0.0,280.0000012
0.09,0.0,0.0,300.0000119
0.1,0.0,0.0,319.9999928
0.13,0.0,0.0,0.0
0.07,0.0,6.78,4950.0
0.11,0.0,6.78,5420.0
0.16,0.0,7.26,5519.999981
0.19,0.0,7.1,5800.000191
0.07,0.0,7.9,5940.000057
0.28,0.0,7.87,6269.999981
0.53,0.0,8.05,6559.999943
0.69,0.0,8.24,7599.999905
0.68,0.0,8.68,7519.999981
0.52,0.0,8.7,7199.999809
0.71,0.0,8.76,7110.000134
0.91,0.0,8.79,7429.999828
0.9,0.0,9.15,7449.999809
1.23,0.0,8.88,7780.00021
1.1,0.0,9.01,7829.999924
0.26,0.0,10.5,7539.999962
0.35,0.0,10.5,8079.999924
0.21,0.0,11.06,8260.000229
0.31,0.0,11.13,8369.999886
0.25,0.0,11.18,8239.999771
0.19,0.0,11.55,0.0
4.81,0.0,6.45,18040.0
5.59,0.0,7.18,19200.0
6.86,0.0,5.85,20280.00069
7.73,0.0,5.46,21610.00061
6.26,0.0,7.63,21100.00038
6.0,0.0,7.06,21450.00076
6.27,0.0,6.65,21610.00061
7.8,0.0,4.74,22879.99916
6.94,0.0,5.84,21729.99954
5.87,0.0,7.48,20309.99947
5.49,0.0,9.3,19459.99908
5.95,0.0,5.28,19030.00069
5.33,0.0,5.26,17409.99985
4.67,0.0,9.28,17010.00023
3.5,0.0,9.94,16239.99977
3.73,0.0,7.52,16600.00038
4.26,0.0,8.36,16879.99916
4.67,0.0,7.12,17409.99985
3.77,0.0,9.78,16430.00031
4.31,0.0,8.35,16520.00046
4.69,0.0,8.55,0.0
14.1,0.0,0.09,28350.0
14.37,0.0,0.07,27470.0
14.71,0.0,0.1,26420.00008
14.79,0.0,0.13,25629.99916
14.66,0.0,0.09,25360.00061
11.88,0.0,2.57,26319.99969
13.96,0.0,1.54,26780.00069
14.67,0.0,1.93,27680.00031
14.7,0.0,1.97,26750.0
14.82,0.0,1.89,26979.99954
14.66,0.0,1.73,28110.00061
14.99,0.0,1.74,27590.00015
