Electricity from fossil fuels (TWh),Value_co2_emissions_kt_by_country
0.71,9180.000305
0.71,7909.999847
0.83,6570.000172
0.93,6659.999847
0.9,5800.000191
0.91,6429.999828
0.95,5349.999905
0.92,0.0
0.2,640.0
0.22,700.0
0.24,680.0000072
0.26,689.9999976
0.27,680.0000072
0.27,600.0000238
0.25,519.9999809
0.27,509.9999905
0.27,449.9999881
0.28,469.9999988
0.29,500.0
0.3,569.9999928
0.31,620.0000048
0.32,639.9999857
0.32,649.9999762
0.33,649.9999762
0.34,660.0000262
0.4,720.0000286
0.42,850.0000238
0.43,879.9999952
0.41,0.0
8.5,14920.0
8.47,15380.0
8.5,14949.99981
10.11,16940.00053
10.25,17020.00046
10.09,17229.99954
9.6,15979.99954
12.04,19979.99954
10.38,18399.99962
8.24,15050.00019
11.92,19000.0
11.71,18170.00008
10.49,16889.99939
12.05,19319.99969
11.06,17940.00053
8.59,15539.99996
10.58,15989.99977
11.3,16709.99908
10.38,15319.99969
5.47,10180.00031
3.11,0.0
0.06,690.0
0.06,610.0
0.06,620.0000048
0.06,629.9999952
0.06,629.9999952
0.06,660.0000262
0.06,649.9999762
0.06,660.0000262
0.06,629.9999952
0.06,699.9999881
0.06,649.9999762
0.03,660.0000262
0.04,680.0000072
0.04,750.0
0.04,750.0
0.04,769.9999809
0.04,839.9999738
0.04,889.9999857
0.04,910.0000262
0.04,959.9999785
0.04,0.0
0.06,3560.0
0.06,4400.0
0.06,4570.000172
0.06,5019.999981
0.06,5329.999924
0.06,5050.000191
0.06,5400.000095
0.17,5960.000038
0.44,6489.999771
0.42,6530.00021
0.08,6469.99979
0.07,7539.999962
0.04,8479.999542
0.03,10079.99992
0.02,12340.00015
0.02,12890.00034
0.01,14970.00027
0.01,15819.99969
0.01,17239.99977
0.01,18360.00061
0.01,0.0
0.18,810.0
0.17,1040.0
0.21,879.9999952
0.31,1049.999952
0.31,1470.000029
0.37,1289.999962
0.39,1379.999995
0.27,1259.99999
0.26,970.0000286
0.28,970.0000286
0.35,1159.999967
0.3,1110.000014
0.24,1029.999971
0.27,1129.999995
0.38,1289.999962
0.43,1379.999995
0.36,1519.999981
0.41,1649.999976
0.38,1629.999995
0.42,1629.999995
0.4,0.0
23.93,55100.0
29.98,61090.0
32.6,63439.99863
42.29,71709.99908
37.25,67680.00031
23.6,55459.99908
36.68,67019.99664
33.18,65099.99847
26.25,56659.99985
26.55,54180.00031
33.36,62529.99878
25.84,55119.99893
18.54,49409.99985
21.74,50189.99863
17.95,46159.99985
14.58,42819.99969
14.87,45700.00076
13.17,43020.00046
15.05,44580.00183
12.63,40709.99908
9.82,0.0
50.61,373120.0
46.48,376730.0
52.67,371019.989
57.38,376709.9915
56.53,377790.0085
63.35,380660.0037
56.9,371549.9878
58.18,362829.9866
55.57,357989.9902
51.32,343730.011
57.63,347779.9988
58.99,335140.0146
56.42,338420.0134
53.35,338559.9976
35.68,306100.0061
44.65,311299.9878
56.45,313920.0134
65.09,317829.9866
49.27,307049.9878
53.5,300519.989
48.14,0.0
0.48,6080.0
0.48,6230.0
0.51,5960.000038
0.57,6440.000057
0.6,6090.000153
0.71,6059.999943
0.67,5440.000057
0.89,4940.000057
0.89,5269.999981
0.87,5199.999809
0.97,5760.000229
1.13,5780.00021
1.18,5599.999905
1.09,5789.999962
1.13,5960.000038
1.12,6119.999886
1.28,6420.000076
1.25,5329.999924
1.26,5119.999886
1.25,5250.0
1.19,0.0
1.47,4770.0
1.31,3520.0
0.46,2960.000038
0.6,3160.000086
0.82,3369.999886
0.97,4239.999771
1.85,4699.999809
1.42,5630.000114
1.21,4840.000153
1.08,5619.999886
0.71,5320.000172
2.17,6519.999981
2.32,7190.000057
1.68,7840.000153
1.91,8470.000267
2.24,9199.999809
2.1,9649.999619
2.1,9729.999542
1.99,9569.999695
2.67,10109.99966
2.82,0.0
367.22,830280.0
372.69,847680.0
372.64,833380.0049
390.81,836789.978
385.24,821070.0073
386.96,802380.0049
390.03,814409.9731
402.4,783799.9878
390.43,789690.0024
358.07,734809.9976
378.9,773070.0073
373.16,746479.9805
377.89,760130.0049
381.52,776150.0244
360.28,736010.0098
359.99,742309.9976
368.67,747150.0244
353.37,732200.0122
334.65,707700.0122
284.09,657400.0244
251.4,0.0
0.58,5740.0
1.18,6210.0
2.1,7429.999828
1.86,7139.999866
0.64,6679.999828
1.1,7039.999962
2.64,8510.000229
3.06,9119.999886
2.0,8659.999847
1.96,10010.00023
2.98,11189.99958
3.42,11750.0
3.71,14609.99966
4.36,15630.00011
4.31,15090.00015
5.36,15779.99973
5.84,16069.99969
7.17,17010.00023
8.3,18680.00031
9.37,20040.00092
12.82,0.0
49.28,94460.0
50.14,96610.0
50.37,96599.99847
52.01,100220.0012
52.89,99839.99634
53.02,101949.9969
52.5,100699.9969
58.12,104309.9976
57.17,100410.0037
52.91,94739.99786
46.85,87580.00183
51.04,84550.00305
50.62,80089.99634
42.76,72480.00336
38.17,69550.00305
36.98,68010.00214
39.52,66849.99847
41.38,66800.00305
37.11,65019.99664
32.48,60000.0
30.61,0.0
0.13,210.0
0.14,230.0
0.15,239.9999946
0.16,250.0
0.15,230.0000042
0.15,250.0
0.17,259.9999905
0.18,280.0000012
0.19,289.9999917
0.2,810.0000024
0.2,289.9999917
0.2,310.0000024
0.19,409.9999964
0.19,319.9999928
0.19,250.0
0.19,270.0000107
0.2,280.0000012
0.21,289.9999917
0.21,319.9999928
0.21,330.0000131
0.2,0.0
2.84,9420.0
2.83,9810.0
3.35,10470.00027
4.1,10539.99996
3.45,10750.0
4.31,11529.99973
3.68,11520.00046
4.44,12409.99985
3.39,11239.99977
4.04,11850.00038
2.96,11439.99958
3.02,11739.99977
3.38,12149.99962
3.63,13000.0
3.83,13949.99981
4.72,16340.00015
4.88,17489.99977
3.92,16569.99969
5.08,18319.99969
5.51,19309.99947
4.41,0.0
0.34,1490.0
0.39,1570.0
0.4,1629.999995
0.47,1700.000048
0.39,1769.999981
0.39,1830.000043
0.39,1899.999976
0.41,1980.000019
0.44,2009.99999
0.44,2119.999886
0.44,2500.0
0.44,2619.999886
0.22,2480.000019
0.16,2180.000067
0.27,2240.00001
0.24,2539.999962
0.51,2819.999933
0.54,3339.999914
0.73,3750.0
0.75,3950.000048
0.71,0.0
0.03,150.0
0.03,150.0
0.02,150.000006
0.02,189.9999976
0.03,200.000003
0.03,209.9999934
0.03,219.9999988
0.03,230.0000042
0.03,219.9999988
0.03,230.0000042
0.03,239.9999946
0.03,239.9999946
0.03,250.0
0.03,250.0
0.03,270.0000107
0.06,280.0000012
0.08,310.0000024
0.08,310.0000024
0.08,319.9999928
0.08,330.0000131
0.08,0.0
0.82,1660.0
0.85,1640.0
0.85,1620.000005
0.77,1620.000005
0.8,1669.999957
0.6,1480.000019
0.62,1330.000043
0.65,1610.000014
0.66,1600.000024
0.61,1629.999995
0.73,1759.99999
0.77,1830.000043
0.81,2000.0
0.85,1980.000019
0.85,2059.999943
0.88,2079.999924
0.95,2480.000019
0.99,2470.000029
1.0,2589.999914
1.06,2849.999905
1.01,0.0
0.25,1470.0
0.29,1600.0
0.27,1830.000043
0.26,1809.999943
0.27,1669.999957
0.27,1700.000048
0.28,1720.000029
0.3,2049.999952
0.29,2029.999971
0.48,1990.00001
0.39,2460.000038
0.53,2700.000048
0.83,2420.000076
0.86,2650.000095
0.89,3019.999981
0.9,3279.999971
0.95,3359.999895
0.87,3329.999924
0.8,3289.999962
0.85,3319.999933
0.81,0.0
1.3,4990.0
1.86,5800.0
2.3,6090.000153
2.54,6730.000019
3.12,7559.999943
3.48,6969.99979
3.48,7969.99979
3.61,8539.999962
3.71,8590.000153
3.31,8069.999695
3.18,8180.000305
3.6,8810.00042
3.94,9239.999771
